task,direction,channel,time_s,amplitude
2,-1,F3,0.66796875,42.199138170453914
2,-1,F3,0.671875,41.94401805680076
2,-1,F3,0.67578125,41.488307786116124
2,-1,F3,0.6796875,40.866818624786355
2,-1,F3,0.68359375,40.11189351612696
2,-1,F3,0.6875,39.33494865715704
2,-1,F3,0.69140625,38.50347824552387
2,-1,F3,0.6953125,37.705922048269606
2,-1,F3,0.69921875,37.01371440192538
2,-1,F3,0.703125,36.45622740048861
2,-1,F3,0.70703125,36.12709259418917
2,-1,F3,0.7109375,35.77230868822131
2,-1,F3,0.71484375,35.329917284281485
2,-1,F3,0.71875,34.67988026863007
2,-1,F3,0.72265625,33.8053245580585
2,-1,F3,0.7265625,33.01164838130826
2,-1,F3,0.73046875,32.35315516456471
2,-1,F3,0.734375,31.982997454874944
2,-1,F3,0.73828125,31.800695508206225
2,-1,F3,0.7421875,31.530665713270203
2,-1,F3,0.74609375,31.128864706603245
2,-1,F3,0.75,30.58757106862514
2,-1,F3,0.75390625,29.853073892805423
2,-1,F3,0.7578125,29.003587135553566
2,-1,F3,0.76171875,28.12982995469797
2,-1,F3,0.765625,27.23013346161416
2,-1,F3,0.76953125,26.36057445796878
2,-1,F3,0.7734375,25.639159168604138
2,-1,F3,0.77734375,25.037222741874416
2,-1,F3,0.78125,24.37300189189745
2,-1,F3,0.78515625,23.780248254453674
2,-1,F3,0.7890625,23.16984371156022
2,-1,F3,0.79296875,22.504605027661146
2,-1,F3,0.796875,21.914572765840877
2,-1,F3,0.80078125,21.189952476687868
2,-1,Fz,-0.19921875,-0.5897480930740584
2,-1,Fz,-0.1953125,-0.49125109273867085
2,-1,Fz,-0.19140625,-0.38776727070236694
2,-1,Fz,-0.1875,-0.31696184594836374
2,-1,Fz,-0.18359375,-0.18948175896342045
2,-1,Fz,-0.1796875,0.07524145511613656
2,-1,Fz,-0.17578125,0.2527241084799478
2,-1,Fz,-0.171875,0.33409558250527455
2,-1,Fz,-0.16796875,0.14725542305903894
2,-1,Fz,-0.1640625,-0.20886910261153607
2,-1,Fz,-0.16015625,-0.6000124843164414
2,-1,Fz,-0.15625,-0.9727002290786546
2,-1,Fz,-0.15234375,-1.0643378973008835
