task,direction,source,time_s,value
2,1,R,-0.17578125,0.0
2,1,R,-0.171875,0.0
2,1,R,-0.16796875,0.0
2,1,R,-0.1640625,0.0
2,1,R,-0.16015625,0.0
2,1,R,-0.15625,0.0
2,1,R,-0.15234375,0.0
2,1,R,-0.1484375,0.0
2,1,R,-0.14453125,0.0
2,1,R,-0.140625,0.0
2,1,R,-0.13671875,0.0
2,1,R,-0.1328125,0.0
2,1,R,-0.12890625,0.0
2,1,R,-0.125,0.0
2,1,R,-0.12109375,0.0
2,1,R,-0.1171875,0.0
2,1,R,-0.11328125,0.0
2,1,R,-0.109375,0.0
2,1,R,-0.10546875,0.0
2,1,R,-0.1015625,0.0
2,1,R,-0.09765625,0.0
2,1,R,-0.09375,0.0
2,1,R,-0.08984375,0.0
2,1,R,-0.0859375,0.0
2,1,R,-0.08203125,0.0
2,1,R,-0.078125,0.0
2,1,R,-0.07421875,0.0
2,1,R,-0.0703125,0.0
2,1,R,-0.06640625,0.0
2,1,R,-0.0625,0.0
2,1,R,-0.05859375,0.0
2,1,R,-0.0546875,0.0
2,1,R,-0.05078125,0.0
2,1,R,-0.046875,0.0
2,1,R,-0.04296875,0.0
2,1,R,-0.0390625,0.0
2,1,R,-0.03515625,0.0
2,1,R,-0.03125,0.0
2,1,R,-0.02734375,0.0
2,1,R,-0.0234375,0.0
2,1,R,-0.01953125,0.0
2,1,R,-0.015625,0.0
2,1,R,-0.01171875,0.0
2,1,R,-0.0078125,0.0
2,1,R,-0.00390625,0.0
2,1,R,0.0,0.0
2,1,R,0.00390625,6.272550002596975e-05
2,1,R,0.0078125,0.0002468315608404371
2,1,R,0.01171875,0.0005466212462913983
2,1,R,0.015625,0.0009565720322069032
2,1,R,0.01953125,0.0014713360478939737
2,1,R,0.0234375,0.002085739496122053
2,1,R,0.02734375,0.002794781364440013
2,1,R,0.03125,0.003593631530298561
2,1,R,0.03515625,0.004477628352524462
2,1,R,0.0390625,0.00544227583230255
2,1,R,0.04296875,0.006483240418019213
2,1,R,0.046875,0.0075963475201359185
2,1,R,0.05078125,0.008777577794703452
2,1,R,0.0546875,0.0100230632471921
2,1,R,0.05859375,0.011329083201984152
2,1,R,0.0625,0.01269206017712905
2,1,R,0.06640625,0.01410855569876868
2,1,R,0.0703125,0.01557526608496736
2,1,R,0.07421875,0.017089018224493234
2,1,R,0.078125,0.018646765372358317
2,1,R,0.08203125,0.020245582980597997
2,1,R,0.0859375,0.02188266457982178
2,1,R,0.08984375,0.023555317724461764
2,1,R,0.09375,0.025260960012351532
2,1,R,0.09765625,0.026997115187255595
2,1,R,0.1015625,0.02876140933120975
2,1,R,0.10546875,0.030551567151999727
2,1,R,0.109375,0.032365408369775125
2,1,R,0.11328125,0.03420084420564554
2,1,R,0.1171875,0.03605587397411637
2,1,R,0.12109375,0.03792858178037402
2,1,R,0.125,0.03981713332270837
2,1,R,0.12890625,0.04171977279974904
2,1,R,0.1328125,0.04363481992167779
2,1,R,0.13671875,0.04556066702415088
2,1,R,0.140625,0.047495776283310975
2,1,R,0.14453125,0.04943867702997908
2,1,R,0.1484375,0.05138849845593819
2,1,R,0.15234375,0.05334441067671772
2,1,R,0.15625,0.055305600678091926
2,1,R,0.16015625,0.057271268010536475
2,1,R,0.1640625,0.05924062224035295
2,1,R,0.16796875,0.061212881820002556
2,1,R,0.171875,0.06318727402848942
2,1,R,0.17578125,0.06516303565870317
2,1,R,0.1796875,0.06713941417600387
2,1,R,0.18359375,0.06911566912778055
2,1,R,0.1875,0.07109107363819044
2,1,R,0.19140625,0.07306491587058721
2,1,R,0.1953125,0.07503650038000666
2,1,R,0.19921875,0.07700514930916572
2,1,R,0.203125,0.07897020340451773
2,1,R,0.20703125,0.08093102284525744
2,1,R,0.2109375,0.08288698788916729
2,1,R,0.21484375,0.0848374993461271
2,1,R,0.21875,0.08678197889406893
2,1,R,0.22265625,0.08871986925402753
2,1,R,0.2265625,0.0906506342413902
2,1,R,0.23046875,0.0925737587099911
2,1,R,0.234375,0.09448874840468464
2,1,R,0.23828125,0.09639512973672318
2,1,R,0.2421875,0.09829244949482759
2,1,R,0.24609375,0.10018027450338657
2,1,R,0.25,0.10205819123782117
2,1,R,0.25390625,0.10392580540584616
2,1,R,0.2578125,0.10578274150216911
2,1,R,0.26171875,0.10762864234309923
2,1,R,0.265625,0.10946316858658967
2,1,R,0.26953125,0.11128599824240419
2,1,R,0.2734375,0.11309682617637165
2,1,R,0.27734375,0.11489536361206147
2,1,R,0.28125,0.11668133763266816
2,1,R,0.28515625,0.1184544906854246
