fold,scheme,false_positive_rate,true_positive_rate
A_to_B,scalp,0.38666666666666666,0.2962962962962963
A_to_B,scalp,0.4266666666666667,0.2962962962962963
A_to_B,scalp,0.4266666666666667,0.35802469135802467
A_to_B,scalp,0.4666666666666667,0.35802469135802467
A_to_B,scalp,0.4666666666666667,0.38271604938271603
A_to_B,scalp,0.48,0.38271604938271603
A_to_B,scalp,0.48,0.43209876543209874
A_to_B,scalp,0.5066666666666667,0.43209876543209874
A_to_B,scalp,0.5066666666666667,0.48148148148148145
A_to_B,scalp,0.5866666666666667,0.48148148148148145
A_to_B,scalp,0.5866666666666667,0.5061728395061729
A_to_B,scalp,0.6,0.5061728395061729
A_to_B,scalp,0.6,0.5555555555555556
A_to_B,scalp,0.6133333333333333,0.5555555555555556
A_to_B,scalp,0.6133333333333333,0.6172839506172839
A_to_B,scalp,0.64,0.6172839506172839
A_to_B,scalp,0.64,0.6296296296296297
A_to_B,scalp,0.6666666666666666,0.6296296296296297
A_to_B,scalp,0.6666666666666666,0.7160493827160493
A_to_B,scalp,0.7066666666666667,0.7160493827160493
A_to_B,scalp,0.7066666666666667,0.7530864197530864
A_to_B,scalp,0.7333333333333333,0.7530864197530864
A_to_B,scalp,0.7333333333333333,0.8024691358024691
A_to_B,scalp,0.7466666666666667,0.8024691358024691
A_to_B,scalp,0.7466666666666667,0.8148148148148148
A_to_B,scalp,0.7866666666666666,0.8148148148148148
A_to_B,scalp,0.7866666666666666,0.8271604938271605
A_to_B,scalp,0.8,0.8271604938271605
A_to_B,scalp,0.8,0.8518518518518519
A_to_B,scalp,0.8133333333333334,0.8518518518518519
A_to_B,scalp,0.8133333333333334,0.8641975308641975
A_to_B,scalp,0.8266666666666667,0.8641975308641975
A_to_B,scalp,0.8266666666666667,0.8888888888888888
A_to_B,scalp,0.8533333333333334,0.8888888888888888
A_to_B,scalp,0.8533333333333334,0.9012345679012346
A_to_B,scalp,0.8666666666666667,0.9012345679012346
A_to_B,scalp,0.8666666666666667,0.9135802469135802
A_to_B,scalp,0.9066666666666666,0.9135802469135802
A_to_B,scalp,0.9066666666666666,0.9259259259259259
A_to_B,scalp,0.9466666666666667,0.9259259259259259
A_to_B,scalp,0.9466666666666667,0.9382716049382716
A_to_B,scalp,0.96,0.9382716049382716
A_to_B,scalp,0.96,0.9506172839506173
A_to_B,scalp,0.9866666666666667,0.9506172839506173
A_to_B,scalp,0.9866666666666667,0.9629629629629629
A_to_B,scalp,1.0,0.9629629629629629
A_to_B,scalp,1.0,1.0
A_to_B,combined,0.0,0.0
A_to_B,combined,0.013333333333333334,0.0
A_to_B,combined,0.02666666666666667,0.0
A_to_B,combined,0.02666666666666667,0.012345679012345678
A_to_B,combined,0.04,0.012345679012345678
A_to_B,combined,0.04,0.037037037037037035
A_to_B,combined,0.05333333333333334,0.037037037037037035
A_to_B,combined,0.05333333333333334,0.07407407407407407
A_to_B,combined,0.06666666666666667,0.07407407407407407
A_to_B,combined,0.06666666666666667,0.08641975308641975
A_to_B,combined,0.09333333333333334,0.08641975308641975
A_to_B,combined,0.09333333333333334,0.09876543209876543
A_to_B,combined,0.12,0.09876543209876543
A_to_B,combined,0.12,0.12345679012345678
A_to_B,combined,0.13333333333333333,0.12345679012345678
A_to_B,combined,0.13333333333333333,0.14814814814814814
A_to_B,combined,0.16,0.14814814814814814
A_to_B,combined,0.16,0.18518518518518517
A_to_B,combined,0.21333333333333335,0.18518518518518517
A_to_B,combined,0.21333333333333335,0.24691358024691357
A_to_B,combined,0.25333333333333335,0.24691358024691357
A_to_B,combined,0.25333333333333335,0.25925925925925924
A_to_B,combined,0.28,0.25925925925925924
A_to_B,combined,0.28,0.2839506172839506
A_to_B,combined,0.30666666666666664,0.2839506172839506
A_to_B,combined,0.30666666666666664,0.2962962962962963
A_to_B,combined,0.32,0.2962962962962963
A_to_B,combined,0.32,0.30864197530864196
A_to_B,combined,0.3466666666666667,0.30864197530864196
A_to_B,combined,0.3466666666666667,0.37037037037037035
A_to_B,combined,0.37333333333333335,0.37037037037037035
A_to_B,combined,0.37333333333333335,0.4444444444444444
A_to_B,combined,0.38666666666666666,0.4444444444444444
A_to_B,combined,0.38666666666666666,0.4691358024691358
A_to_B,combined,0.4,0.4691358024691358
A_to_B,combined,0.4,0.48148148148148145
A_to_B,combined,0.41333333333333333,0.48148148148148145
A_to_B,combined,0.41333333333333333,0.5308641975308642
A_to_B,combined,0.4533333333333333,0.5308641975308642
A_to_B,combined,0.4533333333333333,0.5555555555555556
A_to_B,combined,0.49333333333333335,0.5555555555555556
A_to_B,combined,0.49333333333333335,0.6172839506172839
A_to_B,combined,0.52,0.6172839506172839
A_to_B,combined,0.52,0.6790123456790124
A_to_B,combined,0.5333333333333333,0.6790123456790124
A_to_B,combined,0.5333333333333333,0.691358024691358
A_to_B,combined,0.5466666666666666,0.691358024691358
A_to_B,combined,0.5466666666666666,0.7037037037037037
A_to_B,combined,0.56,0.7037037037037037
A_to_B,combined,0.56,0.7283950617283951
A_to_B,combined,0.6133333333333333,0.7283950617283951
A_to_B,combined,0.6133333333333333,0.7530864197530864
A_to_B,combined,0.64,0.7530864197530864
A_to_B,combined,0.64,0.7777777777777778
A_to_B,combined,0.6666666666666666,0.7777777777777778
A_to_B,combined,0.6666666666666666,0.7901234567901234
A_to_B,combined,0.7066666666666667,0.7901234567901234
A_to_B,combined,0.7066666666666667,0.8395061728395061
A_to_B,combined,0.76,0.8395061728395061
A_to_B,combined,0.76,0.8518518518518519
A_to_B,combined,0.7866666666666666,0.8518518518518519
A_to_B,combined,0.7866666666666666,0.8641975308641975
A_to_B,combined,0.8266666666666667,0.8641975308641975
A_to_B,combined,0.8266666666666667,0.9012345679012346
A_to_B,combined,0.8533333333333334,0.9012345679012346
A_to_B,combined,0.8533333333333334,0.9382716049382716
A_to_B,combined,0.9466666666666667,0.9382716049382716
A_to_B,combined,0.9466666666666667,0.9506172839506173
A_to_B,combined,0.9733333333333334,0.9506172839506173
A_to_B,combined,0.9733333333333334,0.9753086419753086
A_to_B,combined,0.9866666666666667,0.9753086419753086
A_to_B,combined,0.9866666666666667,0.9876543209876543
A_to_B,combined,1.0,0.9876543209876543
A_to_B,combined,1.0,1.0
B_to_A,erp,0.0,0.0
B_to_A,erp,0.011235955056179775,0.0
B_to_A,erp,0.02247191011235955,0.0
B_to_A,erp,0.02247191011235955,0.06756756756756757
B_to_A,erp,0.033707865168539325,0.06756756756756757
B_to_A,erp,0.033707865168539325,0.0945945945945946
B_to_A,erp,0.056179775280898875,0.0945945945945946
B_to_A,erp,0.056179775280898875,0.12162162162162163
B_to_A,erp,0.06741573033707865,0.12162162162162163
B_to_A,erp,0.06741573033707865,0.14864864864864866
B_to_A,erp,0.07865168539325842,0.14864864864864866
B_to_A,erp,0.07865168539325842,0.1891891891891892
B_to_A,erp,0.0898876404494382,0.1891891891891892
B_to_A,erp,0.0898876404494382,0.20270270270270271
B_to_A,erp,0.10112359550561797,0.20270270270270271
B_to_A,erp,0.10112359550561797,0.24324324324324326
B_to_A,erp,0.11235955056179775,0.24324324324324326
B_to_A,erp,0.11235955056179775,0.2972972972972973
B_to_A,erp,0.12359550561797752,0.2972972972972973
B_to_A,erp,0.12359550561797752,0.36486486486486486
B_to_A,erp,0.15730337078651685,0.36486486486486486
B_to_A,erp,0.15730337078651685,0.3783783783783784
B_to_A,erp,0.21348314606741572,0.3783783783783784
B_to_A,erp,0.21348314606741572,0.3918918918918919
