task,direction,channel,time_s,train_observed,heldout_observed,fitted
2,1,F3,0.47265625,81.37916941315797,43.694998158036874,82.50694479211514
2,1,F3,0.4765625,82.4543030063826,44.13338267226601,83.53724703952992
2,1,F3,0.48046875,83.51161304299231,44.599128242427945,84.56234027290512
2,1,F3,0.484375,84.46826567372686,45.3672787694626,85.58222938534405
2,1,F3,0.48828125,85.40390835216267,46.29724734737713,86.59691930740898
2,1,F3,0.4921875,86.21314742102182,47.453401050860336,87.60641499014682
2,1,F3,0.49609375,87.05619951424099,48.73743481290046,88.61072139001428
2,1,F3,0.5,88.11506356490844,50.003501977474606,89.60984345553209
2,1,F3,0.50390625,89.34043859454205,51.33704163300096,90.603786115514
2,1,F3,0.5078125,90.88933736320193,52.56932127572658,91.59255426872983
2,1,F3,0.51171875,92.62815238726719,53.89260183570953,92.5761527748742
2,1,F3,0.515625,94.49262077127464,55.542297499778165,93.55458644672441
2,1,F3,0.51953125,96.4623775674685,57.41506502717419,94.52786004338083
2,1,F3,0.5234375,98.41920705262554,59.68012156336274,95.49597826449292
2,1,F3,0.52734375,100.44337191982122,62.16471949408749,96.45894574538198
2,1,F3,0.53125,102.47067768106687,64.6783262982727,97.41676705298002
2,1,F3,0.53515625,104.61510148672755,67.2581163211762,98.3694466825107
2,1,F3,0.5390625,106.96734657834519,69.8963392757715,99.31698905484498
2,1,F3,0.54296875,109.51855327115949,72.56517589817814,100.2593985144699
2,1,F3,0.546875,112.47561436189224,75.17073432944976,101.19667932801362
2,1,F3,0.55078125,115.65344511605,77.74754141342001,102.12883568327601
2,1,F3,0.5546875,118.99153691451195,80.37406183281404,103.05587168871682
2,1,F3,0.55859375,122.41468606400991,82.97941281857253,103.97779137335854
2,1,F3,0.5625,125.77678454349467,85.4737370559949,104.89459868706479
2,1,F3,0.56640625,129.09084030335447,87.90387285677558,105.80629750115759
2,1,F3,0.5703125,132.3073667382013,90.2285739251995,106.71289160934064
2,1,F3,0.57421875,135.4013295368009,92.49368891745233,107.61438472889847
2,1,F3,0.578125,138.3964877517766,94.80560729738247,108.51078050214318
2,1,F3,0.58203125,141.2237795732984,97.0750169797406,109.40208249808396
2,1,F3,0.5859375,143.75020552863757,99.3534593592641,110.2882942142955
2,1,F3,0.58984375,146.06537160246364,101.55822812433483,111.1694190789647
2,1,F3,0.59375,148.0421783594344,103.46106422775159,112.04546045309517
2,1,F3,0.59765625,149.82664280261213,105.23204708054531,112.91642163285249
2,1,F3,0.6015625,151.68092031135487,106.84282775421639,113.78230585203326
2,1,F3,0.60546875,153.43539344643264,108.40839634759315,114.64311628464321
2,1,F3,0.609375,155.18876214622787,110.16146537485014,115.4988560475704
2,1,F3,0.61328125,156.78718358906076,111.9727983351149,116.34952820334122
2,1,F3,0.6171875,157.92419634993533,113.96657201195951,117.19513576294725
2,1,F3,0.62109375,158.79529012481467,115.96130818061778,118.03568168873262
2,1,F3,0.625,159.28065033959982,117.81842584231255,118.87116889733237
2,1,F3,0.62890625,159.59336557209477,119.53233736291483,119.70160026265265
2,1,F3,0.6328125,159.97996414419,120.86814190960725,120.52697861888488
2,1,F3,0.63671875,160.38287857081636,122.00416691825485,121.34730676354644
2,1,F3,0.640625,161.01336923515862,122.93731279766722,122.16258746054106
2,1,F3,0.64453125,161.7183591097215,123.75683918275396,122.97282344323291
2,1,F3,0.6484375,162.37852243335834,124.71431403014186,123.77801741752853
2,1,F3,0.65234375,163.0238749333028,125.66272246837106,124.57817206496188
2,1,F3,0.65625,163.5989187527527,126.61086420858507,125.37329004577721
2,1,F3,0.66015625,164.12093275624508,127.49448735491525,126.163374002006
2,1,F3,0.6640625,164.66209879870289,128.18514644916962,126.94842656053413
2,1,F3,0.66796875,165.15074771753,128.74402060375908,127.72845033615516
2,1,F3,0.671875,165.50988616539505,129.11609567981802,128.50344793460755
2,1,F3,0.67578125,165.76687916086306,129.38114252386453,129.27342195559157
2,1,F3,0.6796875,165.87425171287848,129.5671611491251,130.0383749957648
2,1,F3,0.68359375,165.86756477167262,129.69997380989838,130.79830965171246
2,1,F3,0.6875,165.8074306836429,129.93734614223564,131.55322852289146
2,1,F3,0.69140625,165.65861191486306,130.16009880080054,132.30313421454582
2,1,F3,0.6953125,165.3989483886241,130.35068083507232,133.04802934059146
2,1,F3,0.69921875,165.04261575314524,130.47443205399807,133.78791652646953
2,1,F3,0.703125,164.55863656133505,130.36063611494185,134.5227984119664
2,1,F3,0.70703125,164.01274287673817,130.15534216460256,135.25267765399872
2,1,F3,0.7109375,163.34370950448005,129.80836116911382,135.9775569293637
2,1,F3,0.71484375,162.66280018168922,129.44138597087598,136.6974389374521
2,1,F3,0.71875,162.1737514805539,129.3417128635742,137.41232640292438
2,1,F3,0.72265625,161.7766415180219,129.3282923485838,138.12222207834867
2,1,F3,0.7265625,161.51471344387093,129.4672878295851,138.82712874679942
2,1,F3,0.73046875,161.32159131356568,129.58614798521606,139.5270492244175
2,1,F3,0.734375,161.11142156862797,129.55761906123388,140.2219863629302
2,1,F3,0.73828125,160.92563388317484,129.34760280970812,140.91194305213082
2,1,F3,0.7421875,160.6697605708154,128.68985798277174,141.59692222231797
2,1,F3,0.74609375,160.44393173785852,127.77214109921722,142.27692684669444
2,1,F3,0.75,160.34764025537174,126.53943910093037,142.95195994372418
2,1,F3,0.75390625,160.33885621196194,125.15645965462669,143.62202457944915
2,1,F3,0.7578125,160.54484925116975,123.81561375798475,144.28712386976417
2,1,F3,0.76171875,160.8275275415852,122.52158801473708,144.9472609826509
2,1,F3,0.765625,161.11021899529229,121.35169315282894,145.60243914037017
2,1,F3,0.76953125,161.35990575540197,120.31468624775644,146.25266162161313
2,1,F3,0.7734375,161.4546446313051,119.5454992349183,146.89793176361115
2,1,F3,0.77734375,161.48011555437895,118.9086354813895,147.53825296420416
2,1,F3,0.78125,161.2622222331837,118.54662938145967,148.17362868386812
2,1,F3,0.78515625,161.01230279815346,118.23218593325466,148.80406244770148
2,1,F3,0.7890625,160.96533164272537,117.63862332243684,149.4295578473704
2,1,F3,0.79296875,161.00933760839467,117.0100343459491,150.05011854301375
2,1,F3,0.796875,161.36801766026926,115.79707244839815,150.66574826510669
2,1,F3,0.80078125,161.88288383546407,114.62675916847873,151.2764508162849
2,1,Fz,-0.19921875,-2.2580525396462603,-5.260236453948414,0.0
2,1,Fz,-0.1953125,-2.3131757657494303,-5.1527705822981185,0.0
2,1,Fz,-0.19140625,-2.3418757393487315,-4.978605124298866,0.0
2,1,Fz,-0.1875,-2.1224885039158594,-4.706968407887897,0.0
2,1,Fz,-0.18359375,-1.7785441910434234,-4.425417333245138,0.0
2,1,Fz,-0.1796875,-1.2261314468981852,-4.226576989953628,0.0
2,1,Fz,-0.17578125,-0.6081217954889586,-4.069191645412147,0.0
2,1,Fz,-0.171875,-0.020133113350209397,-4.178665811935019,0.0
2,1,Fz,-0.16796875,0.505695184218526,-4.315658857220795,0.0
2,1,Fz,-0.1640625,0.7907435627665387,-4.333655720861251,0.0
2,1,Fz,-0.16015625,0.939163022816458,-4.237946909768105,0.0
2,1,Fz,-0.15625,0.9071105214870057,-3.672304739090213,0.0
2,1,Fz,-0.15234375,0.7668091860373341,-2.940096443390579,0.0
2,1,Fz,-0.1484375,0.6717394711640166,-2.1590153356503334,0.0
2,1,Fz,-0.14453125,0.5530271551885301,-1.393991292091098,0.0
2,1,Fz,-0.140625,0.3557808119744299,-0.9662758624599679,0.0
2,1,Fz,-0.13671875,0.14917685062261282,-0.6830319161414035,0.0
2,1,Fz,-0.1328125,-0.13823928278368847,-0.5579198380446158,0.0
2,1,Fz,-0.12890625,-0.3939797519467323,-0.5002511934488829,0.0
2,1,Fz,-0.125,-0.41167747507783437,-0.3340946896634402,0.0
2,1,Fz,-0.12109375,-0.30689977032439975,-0.12267875116459068,0.0
2,1,Fz,-0.1171875,-0.010660930469288621,0.15227623546582747,0.0
2,1,Fz,-0.11328125,0.3476607856552234,0.4852372613037599,0.0
2,1,Fz,-0.109375,0.7006777347684019,0.8459369279708941,0.0
2,1,Fz,-0.10546875,1.0010860297758282,1.2433454161578181,0.0
2,1,Fz,-0.1015625,1.0537834860287516,1.7800074990723416,0.0
2,1,Fz,-0.09765625,0.9752798470598449,2.3386875007962535,0.0
2,1,Fz,-0.09375,0.7206626953152948,2.8809572257350764,0.0
2,1,Fz,-0.08984375,0.38844572228306384,3.3430616673564937,0.0
2,1,Fz,-0.0859375,0.08438762741534356,3.6205096902910476,0.0
2,1,Fz,-0.08203125,-0.20513220294891038,3.7389750198739122,0.0
2,1,Fz,-0.078125,-0.36823514220372977,3.557773080412808,0.0
2,1,Fz,-0.07421875,-0.46570555244148404,3.2029821034263564,0.0
2,1,Fz,-0.0703125,-0.5843612065242668,2.734854993481544,0.0
2,1,Fz,-0.06640625,-0.6670840294392999,2.200707969905374,0.0
2,1,Fz,-0.0625,-0.6619143279799201,1.6359857303719554,0.0
2,1,Fz,-0.05859375,-0.610654613865918,1.1108546934860233,0.0
2,1,Fz,-0.0546875,-0.4380469109886921,0.6741660810997462,0.0
2,1,Fz,-0.05078125,-0.2314745434033716,0.36757568053268047,0.0
