mode,fold,split,task,space,n,fisher_trace_ratio,squared_mahalanobis,gaussian_plugin_accuracy,relative_distance,deterministic_template_accuracy,relative_antisymmetric_gain,condition_number,operator_condition,alpha
within,within_A_block2,test,2,source,15,0.06856936385744296,1.152615603181196,0.704297005029721,,,,,,
within,within_A_block2,noise_free_assumption,1,specified_source,2,,,,0.38130070617748835,1.0,0.03801991629514027,26.302004250541234,23.929560681991273,0.001
within,within_A_block2,noise_free_assumption,1,simulated_scalp,2,,,,0.045453527015003624,1.0,0.03801991629514027,26.302004250541234,23.929560681991273,0.001
within,within_A_block2,noise_free_assumption,2,specified_source,2,,,,0.20267272554830304,1.0,0.03801991629514027,26.302004250541234,23.929560681991273,0.001
within,within_A_block2,noise_free_assumption,2,simulated_scalp,2,,,,0.014662606092450379,1.0,0.03801991629514027,26.302004250541234,23.929560681991273,0.001
within,within_A_block3,train,1,scalp,61,0.18436942803351458,0.21382952945634404,0.5914235965629742,,,,,,
within,within_A_block3,train,1,source,61,0.1669288472570159,0.2138295294563442,0.5914235965629743,,,,,,
within,within_A_block3,train,2,scalp,64,0.007420926442547353,0.13517047991713477,0.5729256839830775,,,,,,
within,within_A_block3,train,2,source,64,0.028226491328163877,0.1351704799171352,0.5729256839830776,,,,,,
within,within_A_block3,test,1,scalp,17,0.6395912417530033,1.6315353913363,0.738477230298433,,,,,,
within,within_A_block3,test,1,source,17,0.5410779106133761,1.631535391336292,0.7384772302984326,,,,,,
within,within_A_block3,test,2,scalp,15,0.5939738227522605,0.8797529147568551,0.6804565054811715,,,,,,
within,within_A_block3,test,2,source,15,0.38375336390487874,0.8797529147568572,0.6804565054811718,,,,,,
within,within_A_block3,noise_free_assumption,1,specified_source,2,,,,0.20457300162254113,1.0,0.11825069721361746,9.294322505805635,2.9185312046444833,0.3
within,within_A_block3,noise_free_assumption,1,simulated_scalp,2,,,,0.10642921241261717,1.0,0.11825069721361746,9.294322505805635,2.9185312046444833,0.3
within,within_A_block3,noise_free_assumption,2,specified_source,2,,,,0.09203911182359067,1.0,0.11825069721361746,9.294322505805635,2.9185312046444833,0.3
within,within_A_block3,noise_free_assumption,2,simulated_scalp,2,,,,0.016320355578397,1.0,0.11825069721361746,9.294322505805635,2.9185312046444833,0.3
within,within_A_block4,train,1,scalp,61,0.02999712866199627,0.06915384482050589,0.552304408683818,,,,,,
within,within_A_block4,train,1,source,61,0.039052143930916876,0.06915384482050613,0.552304408683818,,,,,,
within,within_A_block4,train,2,scalp,58,0.003647952116513809,0.05667185958403281,0.5473739130468734,,,,,,
within,within_A_block4,train,2,source,58,0.010678855396749046,0.0566718595840326,0.5473739130468733,,,,,,
within,within_A_block4,test,1,scalp,18,0.2509044975210924,0.8737626351522016,0.6798846823634909,,,,,,
within,within_A_block4,test,1,source,18,0.2771616764848506,0.8737626351522001,0.6798846823634908,,,,,,
within,within_A_block4,test,2,scalp,19,0.5907495655495897,1.2505088630866987,0.7119637611271674,,,,,,
within,within_A_block4,test,2,source,19,0.4650826051323061,1.2505088630866934,0.711963761127167,,,,,,
within,within_A_block4,noise_free_assumption,1,specified_source,2,,,,0.6671171002891658,1.0,0.06428600117234846,15.555486136383497,3.010226105616801,0.3
within,within_A_block4,noise_free_assumption,1,simulated_scalp,2,,,,0.10014027201472193,1.0,0.06428600117234846,15.555486136383497,3.010226105616801,0.3
within,within_A_block4,noise_free_assumption,2,specified_source,2,,,,0.18556815616611677,1.0,0.06428600117234846,15.555486136383497,3.010226105616801,0.3
within,within_A_block4,noise_free_assumption,2,simulated_scalp,2,,,,0.023804724833584718,1.0,0.06428600117234846,15.555486136383497,3.010226105616801,0.3
within,within_B_block0,train,1,scalp,64,0.02862246395255169,0.12947488979964566,0.5713896034464242,,,,,,
within,within_B_block0,train,1,source,64,0.03753719706245059,0.12947488979964608,0.5713896034464243,,,,,,
within,within_B_block0,train,2,scalp,58,0.13122286263334293,0.3078574788177709,0.6092729257410185,,,,,,
within,within_B_block0,train,2,source,58,0.10631486535915403,0.30785747881777026,0.6092729257410184,,,,,,
within,within_B_block0,test,1,scalp,18,0.26475720219580856,1.1204586815341553,0.7016869662196031,,,,,,
within,within_B_block0,test,1,source,18,0.32814864628192775,1.1204586815341546,0.701686966219603,,,,,,
within,within_B_block0,test,2,scalp,12,0.24753922388892494,0.8225866954328923,0.6748994465458208,,,,,,
within,within_B_block0,test,2,source,12,0.24023081110032382,0.8225866954329011,0.6748994465458217,,,,,,
within,within_B_block0,noise_free_assumption,1,specified_source,2,,,,0.6706580600173367,1.0,0.1373409045541407,7.281151986339167,2.822655684186285,0.3
within,within_B_block0,noise_free_assumption,1,simulated_scalp,2,,,,0.32973235680336915,1.0,0.1373409045541407,7.281151986339167,2.822655684186285,0.3
within,within_B_block0,noise_free_assumption,2,specified_source,2,,,,0.48223898625089384,1.0,0.1373409045541407,7.281151986339167,2.822655684186285,0.3
within,within_B_block0,noise_free_assumption,2,simulated_scalp,2,,,,0.09820066351446251,1.0,0.1373409045541407,7.281151986339167,2.822655684186285,0.3
within,within_B_block1,train,1,scalp,65,0.0627510579126904,0.0920227354864001,0.5602788536897539,,,,,,
within,within_B_block1,train,1,source,65,0.06295345639363951,0.09202273548640019,0.5602788536897539,,,,,,
