outer,inner_block,scheme,alpha,size,family,parameter,n,accuracy,balanced_accuracy,macro_f1,auc,left_recall,right_recall,left_left,left_right,right_left,right_right
cross_A_to_B,0,source,0.03,6,lda,0.9,34,0.6470588235294118,0.6357142857142857,0.6357142857142857,0.6821428571428572,0.7,0.5714285714285714,14,6,6,8
cross_A_to_B,0,source,0.03,12,logistic,0.01,34,0.6470588235294118,0.625,0.6263736263736264,0.6428571428571429,0.75,0.5,15,5,7,7
cross_A_to_B,0,source,0.03,12,logistic,0.1,34,0.5882352941176471,0.575,0.575,0.6821428571428572,0.65,0.5,13,7,7,7
cross_A_to_B,0,source,0.03,12,logistic,1.0,34,0.6470588235294118,0.6464285714285715,0.6421052631578947,0.7071428571428571,0.65,0.6428571428571429,13,7,5,9
cross_A_to_B,0,source,0.03,12,logistic,10.0,34,0.6470588235294118,0.6464285714285715,0.6421052631578947,0.7107142857142857,0.65,0.6428571428571429,13,7,5,9
cross_A_to_B,0,source,0.03,12,svm,0.01,34,0.5882352941176471,0.575,0.575,0.6785714285714286,0.65,0.5,13,7,7,7
cross_A_to_B,0,source,0.03,12,svm,0.1,34,0.6470588235294118,0.6464285714285715,0.6421052631578947,0.7,0.65,0.6428571428571429,13,7,5,9
cross_A_to_B,0,source,0.03,12,svm,1.0,34,0.6470588235294118,0.6464285714285715,0.6421052631578947,0.7035714285714285,0.65,0.6428571428571429,13,7,5,9
cross_A_to_B,0,source,0.03,12,svm,10.0,34,0.6470588235294118,0.6464285714285715,0.6421052631578947,0.6964285714285714,0.65,0.6428571428571429,13,7,5,9
cross_A_to_B,0,source,0.03,12,lda,0.1,34,0.6470588235294118,0.6464285714285715,0.6421052631578947,0.6821428571428572,0.65,0.6428571428571429,13,7,5,9
cross_A_to_B,0,source,0.03,12,lda,0.5,34,0.5882352941176471,0.575,0.575,0.675,0.65,0.5,13,7,7,7
cross_A_to_B,0,source,0.03,12,lda,0.9,34,0.6176470588235294,0.5892857142857143,0.5888372093023255,0.6535714285714286,0.75,0.42857142857142855,15,5,8,6
cross_A_to_B,0,combined,0.03,8,logistic,0.01,34,0.6176470588235294,0.6,0.6007226738934056,0.7,0.7,0.5,14,6,7,7
cross_A_to_B,0,combined,0.03,8,logistic,0.1,34,0.6470588235294118,0.6464285714285715,0.6421052631578947,0.6857142857142857,0.65,0.6428571428571429,13,7,5,9
cross_A_to_B,0,combined,0.03,8,logistic,1.0,34,0.6764705882352942,0.6821428571428572,0.6739319965126417,0.6857142857142857,0.65,0.7142857142857143,13,7,4,10
cross_A_to_B,0,combined,0.03,8,logistic,10.0,34,0.6470588235294118,0.6571428571428571,0.6458333333333333,0.6785714285714286,0.6,0.7142857142857143,12,8,4,10
cross_A_to_B,0,combined,0.03,8,svm,0.01,34,0.6470588235294118,0.6464285714285715,0.6421052631578947,0.6857142857142857,0.65,0.6428571428571429,13,7,5,9
cross_A_to_B,0,combined,0.03,8,svm,0.1,34,0.6470588235294118,0.6571428571428571,0.6458333333333333,0.6892857142857143,0.6,0.7142857142857143,12,8,4,10
cross_A_to_B,0,combined,0.03,8,svm,1.0,34,0.6470588235294118,0.6571428571428571,0.6458333333333333,0.6857142857142857,0.6,0.7142857142857143,12,8,4,10
cross_A_to_B,0,combined,0.03,8,svm,10.0,34,0.6470588235294118,0.6571428571428571,0.6458333333333333,0.6857142857142857,0.6,0.7142857142857143,12,8,4,10
cross_A_to_B,0,combined,0.03,8,lda,0.1,34,0.6470588235294118,0.6464285714285715,0.6421052631578947,0.6928571428571428,0.65,0.6428571428571429,13,7,5,9
cross_A_to_B,0,combined,0.03,8,lda,0.5,34,0.6470588235294118,0.6357142857142857,0.6357142857142857,0.7,0.7,0.5714285714285714,14,6,6,8
cross_A_to_B,0,combined,0.03,8,lda,0.9,34,0.6176470588235294,0.6,0.6007226738934056,0.6964285714285714,0.7,0.5,14,6,7,7
cross_A_to_B,0,combined,0.03,12,logistic,0.01,34,0.5882352941176471,0.575,0.575,0.6964285714285714,0.65,0.5,13,7,7,7
cross_A_to_B,0,combined,0.03,12,logistic,0.1,34,0.5882352941176471,0.5857142857142856,0.5824561403508772,0.6928571428571428,0.6,0.5714285714285714,12,8,6,8
