scheme,alpha,size,family,parameter,balanced_accuracy,accuracy,auc,score_std
combined,0.03,8,lda,0.5,0.6011700513538749,0.6115055217489295,0.5400195494864612,0.08544380696053815
combined,0.03,8,lda,0.9,0.6072464402427638,0.6188584629254,0.5305482609710551,0.07982251073865143
combined,0.03,12,logistic,0.01,0.5930716036414566,0.6047911501765457,0.5338833450046685,0.06358433575882329
combined,0.03,12,logistic,0.1,0.5963337418300654,0.6089700247915258,0.5539230275443511,0.07240103934474851
combined,0.03,12,logistic,1.0,0.5673523576097106,0.5875497708662009,0.5607157446311858,0.020400393036562485
combined,0.03,12,logistic,10.0,0.5404426353874883,0.5581380061603185,0.5537683823529411,0.032474069916628434
combined,0.03,12,svm,0.01,0.5908525910364145,0.6016170836150552,0.555656220821662,0.07434285816674407
combined,0.03,12,svm,0.1,0.5673523576097106,0.5875497708662009,0.5683619281045751,0.020400393036562485
combined,0.03,12,svm,1.0,0.5395745798319328,0.5581380061603185,0.5476205065359477,0.03159878214297271
combined,0.03,12,svm,10.0,0.5394622432306255,0.5587765757644054,0.5553060807656396,0.04176946511556945
combined,0.03,12,lda,0.1,0.5669438608776844,0.5856434527834122,0.5648109243697479,0.040848779918871134
combined,0.03,12,lda,0.5,0.5922414799253035,0.6028848320937571,0.546765581232493,0.08035486216790104
combined,0.03,12,lda,0.9,0.5862394957983194,0.5967996393959882,0.5347265989729225,0.08697199889972358
combined,0.03,15,logistic,0.01,0.5993216036414566,0.6121440913530163,0.5256171218487395,0.0741968140623932
combined,0.03,15,logistic,0.1,0.5963337418300654,0.6089700247915258,0.553295693277311,0.07240103934474851
combined,0.03,15,logistic,1.0,0.5510708450046685,0.5709375704304711,0.5569138071895425,0.028137128084591224
combined,0.03,15,logistic,10.0,0.5422531512605042,0.5581380061603185,0.5530097455648926,0.026334122998868417
combined,0.03,15,svm,0.01,0.6130748132586368,0.6249436556231689,0.5518221872082166,0.07069300296560926
combined,0.03,15,svm,0.1,0.5510708450046685,0.5709375704304711,0.5716036414565826,0.028137128084591224
combined,0.03,15,svm,1.0,0.5279557656395892,0.5415258057245886,0.5543986344537815,0.019544152630226304
combined,0.03,15,svm,10.0,0.5696457749766572,0.5827417173766059,0.5802769024276377,0.05191784354431501
combined,0.03,15,lda,0.1,0.5595909197012139,0.5763841935241529,0.5645381069094304,0.052308216417084406
combined,0.03,15,lda,0.5,0.5922414799253035,0.6028848320937571,0.5468049719887955,0.08035486216790104
combined,0.03,15,lda,0.9,0.5862394957983194,0.5967996393959882,0.5259964402427638,0.08697199889972358
source,0.3,6,logistic,0.01,0.5893382352941177,0.6041619713019307,0.5707428804855276,0.04198802215860447
source,0.3,6,logistic,0.1,0.6206626400560225,0.629394861392833,0.5813696311858076,0.03304591469182774
source,0.3,6,logistic,1.0,0.585345179738562,0.59263015551048,0.5688667133520074,0.032361968281182305
source,0.3,6,logistic,10.0,0.5775195494864612,0.5871835324167981,0.5634672619047619,0.06299005666075048
source,0.3,6,svm,0.01,0.6081626400560224,0.6201356021335738,0.5834777661064425,0.03643289411787955
source,0.3,6,svm,0.1,0.5922896241830066,0.5999830966869506,0.5712155695611578,0.02743791045305877
source,0.3,6,svm,1.0,0.5764166083099906,0.5852772143340095,0.5655505952380953,0.04120099948978422
source,0.3,6,svm,10.0,0.5701666083099907,0.5779242731575389,0.5655505952380953,0.050320417349411485
source,0.3,6,lda,0.1,0.6001021241830066,0.6073360378634212,0.5747694911297853,0.02971074090781833
source,0.3,6,lda,0.5,0.6008096988795518,0.6108763428743145,0.5773153011204482,0.045273516283067756
source,0.3,6,lda,0.9,0.5982668067226891,0.6115149124784014,0.5716605392156863,0.05866144622576965
source,0.3,12,logistic,0.01,0.578501400560224,0.5936349635639697,0.5781352124183007,0.05845841737909202
source,0.3,12,logistic,0.1,0.6210113211951447,0.6342029148824281,0.5902208800186741,0.04131226050089638
source,0.3,12,logistic,1.0,0.5588716736694678,0.5629460596499136,0.5604866946778712,0.044223667162901915
source,0.3,12,logistic,10.0,0.5515187324929972,0.5536868003906543,0.5463672969187675,0.058665854714653354
source,0.3,12,svm,0.01,0.620030929038282,0.6348414844865149,0.5887998949579832,0.04044122236434054
source,0.3,12,svm,0.1,0.5662246148459383,0.5722053189091729,0.5575105042016807,0.03003845729771308
source,0.3,12,svm,1.0,0.5662246148459383,0.5722053189091729,0.5440038515406163,0.03003845729771308
source,0.3,12,svm,10.0,0.5588716736694678,0.5629460596499136,0.5425901610644257,0.044223667162901915
source,0.3,12,lda,0.1,0.5863635037348273,0.5942641424385846,0.5738620448179272,0.052008400213204936
source,0.3,12,lda,0.5,0.6126779878618114,0.6255822252272556,0.5867690826330533,0.04676375337483539
source,0.3,12,lda,0.9,0.572251400560224,0.586282022387499,0.5793256886087769,0.048805668097792285
combined,0.3,8,logistic,0.01,0.5791958450046686,0.5949027120426715,0.5437266573295985,0.028711202297960134
