mode,scheme,fold,false_positive,true_positive
cross,combined,cross_B_to_A,0.8314606741573034,0.7972972972972973
cross,combined,cross_B_to_A,0.8314606741573034,0.8243243243243243
cross,combined,cross_B_to_A,0.8426966292134831,0.8243243243243243
cross,combined,cross_B_to_A,0.8426966292134831,0.8378378378378378
cross,combined,cross_B_to_A,0.8651685393258427,0.8378378378378378
cross,combined,cross_B_to_A,0.8651685393258427,0.8648648648648649
cross,combined,cross_B_to_A,0.8764044943820225,0.8648648648648649
cross,combined,cross_B_to_A,0.8764044943820225,0.918918918918919
cross,combined,cross_B_to_A,0.8876404494382022,0.918918918918919
cross,combined,cross_B_to_A,0.8876404494382022,0.9459459459459459
cross,combined,cross_B_to_A,0.898876404494382,0.9459459459459459
cross,combined,cross_B_to_A,0.898876404494382,0.972972972972973
cross,combined,cross_B_to_A,0.9325842696629213,0.972972972972973
cross,combined,cross_B_to_A,0.9325842696629213,0.9864864864864865
cross,combined,cross_B_to_A,1.0,0.9864864864864865
cross,combined,cross_B_to_A,1.0,1.0
within,erp,within_A_block0,0.0,0.0
within,erp,within_A_block0,0.05,0.0
within,erp,within_A_block0,0.05,0.21428571428571427
within,erp,within_A_block0,0.15,0.21428571428571427
within,erp,within_A_block0,0.15,0.2857142857142857
within,erp,within_A_block0,0.3,0.2857142857142857
within,erp,within_A_block0,0.3,0.35714285714285715
within,erp,within_A_block0,0.45,0.35714285714285715
within,erp,within_A_block0,0.45,0.5
within,erp,within_A_block0,0.55,0.5
within,erp,within_A_block0,0.55,0.6428571428571429
within,erp,within_A_block0,0.65,0.6428571428571429
within,erp,within_A_block0,0.65,0.7142857142857143
within,erp,within_A_block0,0.7,0.7142857142857143
within,erp,within_A_block0,0.7,0.8571428571428571
within,erp,within_A_block0,0.8,0.8571428571428571
within,erp,within_A_block0,0.8,0.9285714285714286
within,erp,within_A_block0,0.9,0.9285714285714286
within,erp,within_A_block0,0.9,1.0
within,erp,within_A_block0,1.0,1.0
within,erp,within_A_block1,0.0,0.0
within,erp,within_A_block1,0.0625,0.0
within,erp,within_A_block1,0.125,0.0
within,erp,within_A_block1,0.125,0.08333333333333333
within,erp,within_A_block1,0.1875,0.08333333333333333
within,erp,within_A_block1,0.1875,0.16666666666666666
within,erp,within_A_block1,0.3125,0.16666666666666666
within,erp,within_A_block1,0.3125,0.25
within,erp,within_A_block1,0.375,0.25
within,erp,within_A_block1,0.375,0.3333333333333333
within,erp,within_A_block1,0.4375,0.3333333333333333
within,erp,within_A_block1,0.4375,0.5
within,erp,within_A_block1,0.5,0.5
within,erp,within_A_block1,0.5,0.75
within,erp,within_A_block1,0.5625,0.75
within,erp,within_A_block1,0.5625,0.8333333333333334
within,erp,within_A_block1,0.6875,0.8333333333333334
within,erp,within_A_block1,0.6875,0.9166666666666666
within,erp,within_A_block1,0.8125,0.9166666666666666
within,erp,within_A_block1,0.8125,1.0
within,erp,within_A_block1,1.0,1.0
within,erp,within_A_block2,0.0,0.0
within,erp,within_A_block2,0.0,0.06666666666666667
within,erp,within_A_block2,0.058823529411764705,0.06666666666666667
within,erp,within_A_block2,0.058823529411764705,0.13333333333333333
within,erp,within_A_block2,0.11764705882352941,0.13333333333333333
within,erp,within_A_block2,0.11764705882352941,0.2
within,erp,within_A_block2,0.23529411764705882,0.2
within,erp,within_A_block2,0.23529411764705882,0.3333333333333333
within,erp,within_A_block2,0.5294117647058824,0.3333333333333333
within,erp,within_A_block2,0.5294117647058824,0.5333333333333333
within,erp,within_A_block2,0.5882352941176471,0.5333333333333333
within,erp,within_A_block2,0.5882352941176471,0.8
within,erp,within_A_block2,0.6470588235294118,0.8
within,erp,within_A_block2,0.6470588235294118,0.8666666666666667
within,erp,within_A_block2,0.7647058823529411,0.8666666666666667
within,erp,within_A_block2,0.7647058823529411,0.9333333333333333
within,erp,within_A_block2,1.0,0.9333333333333333
within,erp,within_A_block2,1.0,1.0
within,erp,within_A_block3,0.0,0.0
within,erp,within_A_block3,0.0625,0.0
within,erp,within_A_block3,0.0625,0.125
within,erp,within_A_block3,0.125,0.125
within,erp,within_A_block3,0.125,0.1875
within,erp,within_A_block3,0.1875,0.1875
within,erp,within_A_block3,0.1875,0.25
within,erp,within_A_block3,0.3125,0.25
within,erp,within_A_block3,0.3125,0.3125
within,erp,within_A_block3,0.375,0.3125
within,erp,within_A_block3,0.375,0.5
within,erp,within_A_block3,0.4375,0.5
within,erp,within_A_block3,0.4375,0.625
within,erp,within_A_block3,0.5,0.625
within,erp,within_A_block3,0.5,0.6875
within,erp,within_A_block3,0.6875,0.6875
within,erp,within_A_block3,0.6875,0.75
within,erp,within_A_block3,0.875,0.75
within,erp,within_A_block3,0.875,0.9375
within,erp,within_A_block3,1.0,0.9375
within,erp,within_A_block3,1.0,1.0
within,erp,within_A_block4,0.0,0.0
within,erp,within_A_block4,0.0,0.058823529411764705
within,erp,within_A_block4,0.0,0.11764705882352941
within,erp,within_A_block4,0.05,0.11764705882352941
within,erp,within_A_block4,0.05,0.17647058823529413
within,erp,within_A_block4,0.25,0.17647058823529413
within,erp,within_A_block4,0.25,0.35294117647058826
within,erp,within_A_block4,0.4,0.35294117647058826
within,erp,within_A_block4,0.4,0.47058823529411764
within,erp,within_A_block4,0.45,0.47058823529411764
within,erp,within_A_block4,0.45,0.6470588235294118
within,erp,within_A_block4,0.5,0.6470588235294118
within,erp,within_A_block4,0.5,0.7647058823529411
within,erp,within_A_block4,0.6,0.7647058823529411
within,erp,within_A_block4,0.6,0.8235294117647058
within,erp,within_A_block4,0.8,0.8235294117647058
within,erp,within_A_block4,0.8,0.9411764705882353
within,erp,within_A_block4,0.9,0.9411764705882353
within,erp,within_A_block4,0.9,1.0
within,erp,within_A_block4,1.0,1.0
within,erp,within_B_block0,0.0,0.0
within,erp,within_B_block0,0.0,0.06666666666666667
within,erp,within_B_block0,0.0,0.13333333333333333
within,erp,within_B_block0,0.26666666666666666,0.13333333333333333
within,erp,within_B_block0,0.26666666666666666,0.26666666666666666
within,erp,within_B_block0,0.4,0.26666666666666666
within,erp,within_B_block0,0.4,0.3333333333333333
within,erp,within_B_block0,0.4666666666666667,0.3333333333333333
within,erp,within_B_block0,0.4666666666666667,0.4666666666666667
within,erp,within_B_block0,0.6,0.4666666666666667
within,erp,within_B_block0,0.6,0.5333333333333333
within,erp,within_B_block0,0.6666666666666666,0.5333333333333333
within,erp,within_B_block0,0.6666666666666666,0.6
within,erp,within_B_block0,0.7333333333333333,0.6
within,erp,within_B_block0,0.7333333333333333,0.6666666666666666
within,erp,within_B_block0,0.8666666666666667,0.6666666666666666
within,erp,within_B_block0,0.8666666666666667,0.9333333333333333
within,erp,within_B_block0,1.0,0.9333333333333333
within,erp,within_B_block0,1.0,1.0
within,erp,within_B_block1,0.0,0.0
within,erp,within_B_block1,0.09090909090909091,0.0
within,erp,within_B_block1,0.09090909090909091,0.05555555555555555
within,erp,within_B_block1,0.45454545454545453,0.05555555555555555
within,erp,within_B_block1,0.45454545454545453,0.16666666666666666
within,erp,within_B_block1,0.5454545454545454,0.16666666666666666
within,erp,within_B_block1,0.5454545454545454,0.2222222222222222
within,erp,within_B_block1,0.6363636363636364,0.2222222222222222
within,erp,within_B_block1,0.6363636363636364,0.4444444444444444
within,erp,within_B_block1,0.7272727272727273,0.4444444444444444
within,erp,within_B_block1,0.7272727272727273,0.5555555555555556
within,erp,within_B_block1,0.8181818181818182,0.5555555555555556
within,erp,within_B_block1,0.8181818181818182,0.6666666666666666
within,erp,within_B_block1,0.9090909090909091,0.6666666666666666
within,erp,within_B_block1,0.9090909090909091,0.9444444444444444
within,erp,within_B_block1,1.0,0.9444444444444444
within,erp,within_B_block1,1.0,1.0
within,erp,within_B_block2,0.0,0.0
within,erp,within_B_block2,0.0,0.05555555555555555
within,erp,within_B_block2,0.0,0.2222222222222222
within,erp,within_B_block2,0.09090909090909091,0.2222222222222222
within,erp,within_B_block2,0.09090909090909091,0.2777777777777778
within,erp,within_B_block2,0.36363636363636365,0.2777777777777778
within,erp,within_B_block2,0.36363636363636365,0.5
within,erp,within_B_block2,0.45454545454545453,0.5
within,erp,within_B_block2,0.45454545454545453,0.5555555555555556
within,erp,within_B_block2,0.5454545454545454,0.5555555555555556
within,erp,within_B_block2,0.5454545454545454,0.7222222222222222
within,erp,within_B_block2,0.6363636363636364,0.7222222222222222
within,erp,within_B_block2,0.6363636363636364,0.7777777777777778
within,erp,within_B_block2,0.9090909090909091,0.7777777777777778
within,erp,within_B_block2,0.9090909090909091,0.8333333333333334
within,erp,within_B_block2,1.0,0.8333333333333334
within,erp,within_B_block2,1.0,1.0
within,erp,within_B_block3,0.0,0.0
within,erp,within_B_block3,0.05,0.0
within,erp,within_B_block3,0.05,0.2857142857142857
within,erp,within_B_block3,0.1,0.2857142857142857
within,erp,within_B_block3,0.1,0.42857142857142855
within,erp,within_B_block3,0.35,0.42857142857142855
within,erp,within_B_block3,0.35,0.5
within,erp,within_B_block3,0.45,0.5
within,erp,within_B_block3,0.45,0.5714285714285714
within,erp,within_B_block3,0.6,0.5714285714285714
within,erp,within_B_block3,0.6,0.6428571428571429
within,erp,within_B_block3,0.7,0.6428571428571429
within,erp,within_B_block3,0.7,1.0
within,erp,within_B_block3,1.0,1.0
within,erp,within_B_block4,0.0,0.0
within,erp,within_B_block4,0.05555555555555555,0.0
within,erp,within_B_block4,0.1111111111111111,0.0
within,erp,within_B_block4,0.1111111111111111,0.0625
within,erp,within_B_block4,0.2222222222222222,0.0625
within,erp,within_B_block4,0.2222222222222222,0.375
within,erp,within_B_block4,0.3333333333333333,0.375
within,erp,within_B_block4,0.3333333333333333,0.5
within,erp,within_B_block4,0.3888888888888889,0.5
within,erp,within_B_block4,0.3888888888888889,0.5625
within,erp,within_B_block4,0.5,0.5625
within,erp,within_B_block4,0.5,0.625
within,erp,within_B_block4,0.6111111111111112,0.625
within,erp,within_B_block4,0.6111111111111112,0.8125
within,erp,within_B_block4,0.7222222222222222,0.8125
within,erp,within_B_block4,0.7222222222222222,0.9375
within,erp,within_B_block4,1.0,0.9375
within,erp,within_B_block4,1.0,1.0
within,source,within_A_block0,0.0,0.0
within,source,within_A_block0,0.05,0.0
within,source,within_A_block0,0.05,0.07142857142857142
within,source,within_A_block0,0.1,0.07142857142857142
within,source,within_A_block0,0.1,0.21428571428571427
within,source,within_A_block0,0.15,0.21428571428571427
within,source,within_A_block0,0.15,0.2857142857142857
within,source,within_A_block0,0.25,0.2857142857142857
within,source,within_A_block0,0.25,0.35714285714285715
within,source,within_A_block0,0.3,0.35714285714285715
within,source,within_A_block0,0.3,0.42857142857142855
within,source,within_A_block0,0.35,0.42857142857142855
within,source,within_A_block0,0.35,0.5
within,source,within_A_block0,0.5,0.5
within,source,within_A_block0,0.5,0.6428571428571429
within,source,within_A_block0,0.65,0.6428571428571429
within,source,within_A_block0,0.65,0.7142857142857143
within,source,within_A_block0,0.75,0.7142857142857143
within,source,within_A_block0,0.75,0.7857142857142857
within,source,within_A_block0,0.85,0.7857142857142857
within,source,within_A_block0,0.85,0.9285714285714286
within,source,within_A_block0,1.0,0.9285714285714286
within,source,within_A_block0,1.0,1.0
within,source,within_A_block1,0.0,0.0
within,source,within_A_block1,0.0,0.08333333333333333
within,source,within_A_block1,0.0,0.25
within,source,within_A_block1,0.125,0.25
within,source,within_A_block1,0.125,0.3333333333333333
within,source,within_A_block1,0.25,0.3333333333333333
within,source,within_A_block1,0.25,0.5
within,source,within_A_block1,0.3125,0.5
within,source,within_A_block1,0.3125,0.5833333333333334
within,source,within_A_block1,0.375,0.5833333333333334
within,source,within_A_block1,0.375,0.6666666666666666
within,source,within_A_block1,0.625,0.6666666666666666
within,source,within_A_block1,0.625,0.75
within,source,within_A_block1,0.8125,0.75
within,source,within_A_block1,0.8125,0.8333333333333334
within,source,within_A_block1,0.9375,0.8333333333333334
within,source,within_A_block1,0.9375,1.0
within,source,within_A_block1,1.0,1.0
within,source,within_A_block2,0.0,0.0
within,source,within_A_block2,0.058823529411764705,0.0
within,source,within_A_block2,0.058823529411764705,0.2
within,source,within_A_block2,0.35294117647058826,0.2
within,source,within_A_block2,0.35294117647058826,0.26666666666666666
within,source,within_A_block2,0.4117647058823529,0.26666666666666666
within,source,within_A_block2,0.4117647058823529,0.3333333333333333
within,source,within_A_block2,0.47058823529411764,0.3333333333333333
within,source,within_A_block2,0.47058823529411764,0.4
within,source,within_A_block2,0.5294117647058824,0.4
within,source,within_A_block2,0.5294117647058824,0.5333333333333333
within,source,within_A_block2,0.5882352941176471,0.5333333333333333
within,source,within_A_block2,0.5882352941176471,0.6
within,source,within_A_block2,0.8235294117647058,0.6
within,source,within_A_block2,0.8235294117647058,0.6666666666666666
within,source,within_A_block2,0.8823529411764706,0.6666666666666666
within,source,within_A_block2,0.8823529411764706,0.8666666666666667
within,source,within_A_block2,0.9411764705882353,0.8666666666666667
within,source,within_A_block2,0.9411764705882353,1.0
within,source,within_A_block2,1.0,1.0
within,source,within_A_block3,0.0,0.0
within,source,within_A_block3,0.0625,0.0
within,source,within_A_block3,0.1875,0.0
within,source,within_A_block3,0.1875,0.0625
within,source,within_A_block3,0.25,0.0625
within,source,within_A_block3,0.25,0.4375
within,source,within_A_block3,0.625,0.4375
within,source,within_A_block3,0.625,0.5
within,source,within_A_block3,0.75,0.5
within,source,within_A_block3,0.75,0.875
within,source,within_A_block3,0.8125,0.875
within,source,within_A_block3,0.8125,0.9375
within,source,within_A_block3,0.875,0.9375
within,source,within_A_block3,0.875,1.0
within,source,within_A_block3,1.0,1.0
within,source,within_A_block4,0.0,0.0
within,source,within_A_block4,0.0,0.058823529411764705
within,source,within_A_block4,0.0,0.17647058823529413
within,source,within_A_block4,0.05,0.17647058823529413
within,source,within_A_block4,0.05,0.23529411764705882
within,source,within_A_block4,0.2,0.23529411764705882
within,source,within_A_block4,0.2,0.35294117647058826
within,source,within_A_block4,0.25,0.35294117647058826
within,source,within_A_block4,0.25,0.5294117647058824
within,source,within_A_block4,0.45,0.5294117647058824
within,source,within_A_block4,0.45,0.5882352941176471
within,source,within_A_block4,0.55,0.5882352941176471
within,source,within_A_block4,0.55,0.6470588235294118
within,source,within_A_block4,0.6,0.6470588235294118
within,source,within_A_block4,0.6,0.7058823529411765
within,source,within_A_block4,0.75,0.7058823529411765
within,source,within_A_block4,0.75,0.7647058823529411
within,source,within_A_block4,0.8,0.7647058823529411
within,source,within_A_block4,0.8,0.8235294117647058
within,source,within_A_block4,0.9,0.8235294117647058
within,source,within_A_block4,0.9,0.9411764705882353
within,source,within_A_block4,0.95,0.9411764705882353
within,source,within_A_block4,0.95,1.0
within,source,within_A_block4,1.0,1.0
within,source,within_B_block0,0.0,0.0
within,source,within_B_block0,0.0,0.06666666666666667
within,source,within_B_block0,0.06666666666666667,0.06666666666666667
within,source,within_B_block0,0.06666666666666667,0.13333333333333333
within,source,within_B_block0,0.26666666666666666,0.13333333333333333
within,source,within_B_block0,0.26666666666666666,0.2
within,source,within_B_block0,0.3333333333333333,0.2
within,source,within_B_block0,0.3333333333333333,0.4666666666666667
within,source,within_B_block0,0.4,0.4666666666666667
within,source,within_B_block0,0.4,0.5333333333333333
within,source,within_B_block0,0.4666666666666667,0.5333333333333333
within,source,within_B_block0,0.4666666666666667,0.6
within,source,within_B_block0,0.7333333333333333,0.6
within,source,within_B_block0,0.7333333333333333,0.6666666666666666
within,source,within_B_block0,0.8666666666666667,0.6666666666666666
within,source,within_B_block0,0.8666666666666667,1.0
within,source,within_B_block0,1.0,1.0
within,source,within_B_block1,0.0,0.0
within,source,within_B_block1,0.09090909090909091,0.0
within,source,within_B_block1,0.09090909090909091,0.2222222222222222
within,source,within_B_block1,0.18181818181818182,0.2222222222222222
within,source,within_B_block1,0.18181818181818182,0.3888888888888889
within,source,within_B_block1,0.2727272727272727,0.3888888888888889
within,source,within_B_block1,0.2727272727272727,0.4444444444444444
within,source,within_B_block1,0.36363636363636365,0.4444444444444444
within,source,within_B_block1,0.36363636363636365,0.5
within,source,within_B_block1,0.7272727272727273,0.5
within,source,within_B_block1,0.7272727272727273,0.5555555555555556
within,source,within_B_block1,0.8181818181818182,0.5555555555555556
within,source,within_B_block1,0.8181818181818182,0.7222222222222222
within,source,within_B_block1,0.9090909090909091,0.7222222222222222
within,source,within_B_block1,0.9090909090909091,0.8888888888888888
within,source,within_B_block1,1.0,0.8888888888888888
within,source,within_B_block1,1.0,1.0
within,source,within_B_block2,0.0,0.0
within,source,within_B_block2,0.0,0.05555555555555555
within,source,within_B_block2,0.0,0.1111111111111111
within,source,within_B_block2,0.2727272727272727,0.1111111111111111
within,source,within_B_block2,0.2727272727272727,0.3888888888888889
within,source,within_B_block2,0.36363636363636365,0.3888888888888889
within,source,within_B_block2,0.36363636363636365,0.5555555555555556
within,source,within_B_block2,0.45454545454545453,0.5555555555555556
within,source,within_B_block2,0.45454545454545453,0.6666666666666666
within,source,within_B_block2,0.6363636363636364,0.6666666666666666
within,source,within_B_block2,0.6363636363636364,0.7222222222222222
within,source,within_B_block2,0.7272727272727273,0.7222222222222222
within,source,within_B_block2,0.7272727272727273,0.8333333333333334
within,source,within_B_block2,0.8181818181818182,0.8333333333333334
within,source,within_B_block2,0.8181818181818182,0.8888888888888888
within,source,within_B_block2,1.0,0.8888888888888888
within,source,within_B_block2,1.0,1.0
within,source,within_B_block3,0.0,0.0
within,source,within_B_block3,0.0,0.07142857142857142
within,source,within_B_block3,0.15,0.07142857142857142
within,source,within_B_block3,0.15,0.21428571428571427
within,source,within_B_block3,0.2,0.21428571428571427
within,source,within_B_block3,0.2,0.35714285714285715
within,source,within_B_block3,0.25,0.35714285714285715
within,source,within_B_block3,0.25,0.42857142857142855
within,source,within_B_block3,0.35,0.42857142857142855
within,source,within_B_block3,0.35,0.5
within,source,within_B_block3,0.4,0.5
within,source,within_B_block3,0.4,0.6428571428571429
within,source,within_B_block3,0.45,0.6428571428571429
within,source,within_B_block3,0.45,0.7142857142857143
within,source,within_B_block3,0.5,0.7142857142857143
within,source,within_B_block3,0.5,0.7857142857142857
within,source,within_B_block3,0.7,0.7857142857142857
within,source,within_B_block3,0.7,0.8571428571428571
within,source,within_B_block3,0.85,0.8571428571428571
within,source,within_B_block3,0.85,0.9285714285714286
within,source,within_B_block3,0.95,0.9285714285714286
within,source,within_B_block3,0.95,1.0
within,source,within_B_block3,1.0,1.0
within,source,within_B_block4,0.0,0.0
within,source,within_B_block4,0.05555555555555555,0.0
within,source,within_B_block4,0.05555555555555555,0.125
within,source,within_B_block4,0.1111111111111111,0.125
within,source,within_B_block4,0.1111111111111111,0.1875
within,source,within_B_block4,0.16666666666666666,0.1875
