scheme,alpha,size,family,parameter,balanced_accuracy,accuracy,auc,score_std
combined,0.001,8,logistic,0.1,0.46673669467787116,0.4549171019759255,0.5170220588235294,0.09750400378178252
combined,0.001,8,logistic,1.0,0.48798669467787115,0.4778120031796503,0.5158289565826331,0.06947793011179057
combined,0.001,8,logistic,10.0,0.48387955182072834,0.47114609357256415,0.5142638305322128,0.07880549685487444
combined,0.001,8,svm,0.01,0.46673669467787116,0.4549171019759255,0.516904761904762,0.09750400378178252
combined,0.001,8,svm,0.1,0.48798669467787115,0.4778120031796503,0.5181258753501401,0.06947793011179057
combined,0.001,8,svm,1.0,0.47673669467787116,0.4652637406313877,0.5146581757703081,0.06530143890588531
combined,0.001,8,svm,10.0,0.48298669467787114,0.47151374063138773,0.5121796218487396,0.05795028747847016
combined,0.001,8,lda,0.1,0.4809523809523809,0.47156200317965025,0.5234112394957984,0.07996105766929024
combined,0.001,8,lda,0.5,0.47851190476190475,0.46536026572791284,0.5186852240896359,0.11540393662145672
combined,0.001,8,lda,0.9,0.4980252100840336,0.48993158074040427,0.5242423844537816,0.10919706068037865
combined,0.001,12,logistic,0.01,0.5147408963585434,0.5082046332046332,0.5323988970588236,0.09163210087135061
combined,0.001,12,logistic,0.1,0.4805357142857144,0.47024046104928463,0.5195807072829132,0.08605492068078854
combined,0.001,12,logistic,1.0,0.47673669467787116,0.46394219850102203,0.5186362044817927,0.06599558561081431
combined,0.001,12,logistic,10.0,0.4887009803921569,0.4814799568476039,0.504892331932773,0.06385747079486319
combined,0.001,12,svm,0.01,0.47339285714285717,0.46435810810810807,0.5224601715686275,0.08052262570810657
combined,0.001,12,svm,0.1,0.47673669467787116,0.46394219850102203,0.5202717962184874,0.06599558561081431
combined,0.001,12,svm,1.0,0.4837009803921569,0.4755976039064274,0.5096621148459384,0.0586219995498172
combined,0.001,12,svm,10.0,0.4828081232492997,0.47596525096525094,0.5049089635854342,0.05039035327587598
combined,0.001,12,lda,0.1,0.47470238095238104,0.4630976039064274,0.5246489845938376,0.08043245061502788
combined,0.001,12,lda,0.5,0.47958333333333336,0.4715009652509653,0.5224754901960784,0.090117436277463
combined,0.001,12,lda,0.9,0.5338480392156864,0.5325176016352486,0.529547443977591,0.10479297011234734
combined,0.001,15,logistic,0.01,0.5134418767507003,0.5045366795366795,0.5322465861344539,0.08956845302683777
combined,0.001,15,logistic,0.1,0.4800595238095238,0.47060810810810805,0.5241382177871149,0.0704274475644425
combined,0.001,15,logistic,1.0,0.4775210084033613,0.4647867930956166,0.5205269607843137,0.055762111115413814
combined,0.001,15,logistic,10.0,0.47911764705882354,0.47019219850102206,0.5069979866946779,0.053040554987439835
combined,0.001,15,svm,0.01,0.47339285714285717,0.46435810810810807,0.5293618697478991,0.08052262570810657
combined,0.001,15,svm,0.1,0.4708543417366947,0.4585367930956166,0.5221008403361345,0.06300839066148918
combined,0.001,15,svm,1.0,0.4853676470588235,0.4773350556438792,0.5113077731092437,0.05914101922310927
combined,0.001,15,svm,10.0,0.4622724089635854,0.45927208721326374,0.5010547969187675,0.038069141630775925
combined,0.001,15,lda,0.1,0.4700700280112045,0.45769219850102205,0.5258167016806723,0.07588507915228211
combined,0.001,15,lda,0.5,0.4888690476190476,0.47786026572791285,0.5256123074229692,0.09707093652057192
combined,0.001,15,lda,0.9,0.5105147058823529,0.5086815807404043,0.5311996673669468,0.08471676426220977
source,0.03,6,logistic,0.01,0.5455637254901962,0.5461162843515786,0.5766504726890757,0.07758148597797884
source,0.03,6,logistic,0.1,0.5464460784313726,0.5464839314104021,0.5731293767507003,0.07417061113365607
source,0.03,6,logistic,1.0,0.5284803921568628,0.5302677151941857,0.5503829656862745,0.0547595727772402
source,0.03,6,logistic,10.0,0.5201470588235294,0.5231248580513286,0.5484191176470589,0.06775113432926955
source,0.03,6,svm,0.01,0.5322303921568627,0.5330910742675449,0.5757366071428571,0.08420071941235338
